year,naics,naics_title,occ_code,occ_title,employment_level,wage_hourly_mean,wage_annual_mean,wage_hourly_median,wage_annual_median,wage_annual_pct10,wage_annual_pct90
2015,11,"Agriculture, Forestry, Fishing and Hunting",37-2012,Maids and Housekeeping Cleaners,150.0,16.4,34110.0,11.7,24330.0,16480.0,72920.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",37-3011,Landscaping and Groundskeeping Workers,810.0,12.91,26850.0,11.62,24170.0,17400.0,42190.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",1830.0,16.69,34710.0,14.87,30920.0,21100.0,53180.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",39-1021,First-Line Supervisors of Personal Service Workers,100.0,19.89,41360.0,18.73,38970.0,25440.0,60980.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",39-2011,Animal Trainers,1710.0,18.12,37690.0,14.62,30410.0,18070.0,61040.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",39-2021,Nonfarm Animal Caretakers,2930.0,12.45,25900.0,11.22,23340.0,18080.0,36940.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",41-1012,First-Line Supervisors of Non-Retail Sales Workers,60.0,39.85,82880.0,39.73,82650.0,44560.0,121510.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",41-2011,Cashiers,,12.2,25370.0,12.21,25410.0,19950.0,30500.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",41-2031,Retail Salespersons,90.0,13.84,28790.0,9.9,20590.0,16410.0,58010.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",41-3099,"Sales Representatives, Services, All Other",420.0,29.79,61970.0,27.55,57290.0,28630.0,98170.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",150.0,31.93,66420.0,29.82,62030.0,41290.0,98220.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",870.0,34.13,71000.0,29.06,60450.0,28240.0,115220.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",43-1011,First-Line Supervisors of Office and Administrative Support Workers,990.0,25.09,52190.0,23.29,48440.0,27590.0,78090.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",43-3021,Billing and Posting Clerks,60.0,14.11,29340.0,13.24,27540.0,20270.0,40380.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",43-3031,"Bookkeeping, Accounting, and Auditing Clerks",3590.0,18.06,37570.0,17.58,36570.0,19680.0,56000.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",43-3051,Payroll and Timekeeping Clerks,900.0,17.06,35480.0,16.3,33910.0,20280.0,53400.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",43-4051,Customer Service Representatives,340.0,18.45,38370.0,16.92,35190.0,22440.0,61530.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",43-4071,File Clerks,290.0,12.71,26450.0,12.51,26030.0,19370.0,35670.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",43-4151,Order Clerks,160.0,16.42,34150.0,14.95,31090.0,21230.0,54150.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",70.0,15.81,32890.0,15.81,32880.0,21510.0,45800.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",43-4171,Receptionists and Information Clerks,290.0,12.86,26740.0,12.56,26120.0,18150.0,37020.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",43-5032,"Dispatchers, Except Police, Fire, and Ambulance",70.0,21.1,43890.0,18.62,38720.0,31140.0,62060.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",43-5061,"Production, Planning, and Expediting Clerks",190.0,20.33,42290.0,19.73,41040.0,28490.0,59580.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",43-5071,"Shipping, Receiving, and Traffic Clerks",1460.0,14.47,30100.0,13.95,29020.0,19190.0,43480.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",43-5081,Stock Clerks and Order Fillers,210.0,13.11,27260.0,12.49,25990.0,17670.0,40190.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",960.0,12.79,26600.0,11.46,23840.0,17680.0,40580.0
