year,region,occ_code,occ_title,employment_level,wage_hourly_mean,wage_annual_mean,wage_hourly_median,wage_annual_median,wage_annual_pct10,wage_annual_pct90
2015,US,13-2051,Financial Analysts,268360.0,45.83,95320.0,38.61,80310.0,49450.0,160760.0
2015,US,13-2052,Personal Financial Advisors,197580.0,56.76,118050.0,42.86,89160.0,39300.0,
2015,US,13-2053,Insurance Underwriters,89960.0,34.93,72650.0,31.27,65040.0,38960.0,116600.0
2015,US,13-2061,Financial Examiners,44200.0,42.46,88310.0,37.5,78010.0,45540.0,149390.0
2015,US,13-2071,Credit Counselors,30510.0,23.7,49310.0,21.08,43840.0,30320.0,74500.0
2015,US,13-2072,Loan Officers,303870.0,36.14,75170.0,30.49,63430.0,32870.0,130630.0
2015,US,13-2081,"Tax Examiners and Collectors, and Revenue Agents",59640.0,27.54,57280.0,24.73,51430.0,31660.0,96060.0
2015,US,13-2082,Tax Preparers,72060.0,21.5,44730.0,17.53,36450.0,19330.0,79460.0
2015,US,13-2099,"Financial Specialists, All Other",127250.0,34.85,72480.0,32.05,66670.0,37360.0,112140.0
2015,US,15-1111,Computer and Information Research Scientists,25510.0,55.57,115580.0,53.18,110620.0,64300.0,170610.0
2015,US,15-1121,Computer Systems Analysts,556660.0,43.36,90180.0,41.25,85800.0,51910.0,135450.0
2015,US,15-1122,Information Security Analysts,88880.0,44.83,93250.0,43.33,90120.0,51280.0,143770.0
2015,US,15-1131,Computer Programmers,289420.0,40.56,84360.0,38.24,79530.0,44450.0,130800.0
2015,US,15-1132,"Software Developers, Applications",747730.0,49.12,102160.0,47.24,98260.0,57340.0,153710.0
2015,US,15-1133,"Software Developers, Systems Software",390750.0,52.29,108760.0,50.76,105570.0,64600.0,159850.0
2015,US,15-1134,Web Developers,127070.0,33.97,70660.0,31.23,64970.0,34770.0,116620.0
2015,US,15-1141,Database Administrators,113770.0,40.51,84250.0,39.29,81710.0,45460.0,127080.0
2015,US,15-1142,Network and Computer Systems Administrators,374480.0,39.52,82200.0,37.41,77810.0,47460.0,124090.0
2015,US,15-1143,Computer Network Architects,146600.0,49.57,103100.0,48.19,100240.0,56230.0,155250.0
2015,US,15-1151,Computer User Support Specialists,585060.0,25.21,52430.0,23.38,48620.0,28990.0,81260.0
2015,US,15-1152,Computer Network Support Specialists,184570.0,32.33,67260.0,29.93,62250.0,36350.0,106310.0
2015,US,15-1199,"Computer Occupations, All Other",223370.0,41.98,87310.0,40.98,85240.0,45320.0,129700.0
2015,US,15-2011,Actuaries,19770.0,53.15,110560.0,46.67,97070.0,58290.0,180500.0
2015,US,15-2021,Mathematicians,3170.0,54.11,112560.0,53.42,111110.0,56200.0,167250.0
2015,US,15-2031,Operations Research Analysts,95860.0,40.47,84180.0,37.8,78630.0,43520.0,132500.0
2015,US,15-2041,Statisticians,29870.0,40.6,84440.0,38.51,80110.0,44900.0,130630.0
2015,US,15-2091,Mathematical Technicians,820.0,25.79,53630.0,22.4,46600.0,28390.0,87770.0
2015,US,15-2099,"Mathematical Science Occupations, All Other",1880.0,37.65,78310.0,31.83,66210.0,30040.0,160020.0
2015,US,17-1011,"Architects, Except Landscape and Naval",93720.0,39.83,82850.0,36.59,76100.0,46080.0,125520.0
2015,US,17-1012,Landscape Architects,19820.0,32.98,68600.0,30.68,63810.0,40230.0,104710.0
2015,US,17-1021,Cartographers and Photogrammetrists,11970.0,31.45,65410.0,29.75,61880.0,39470.0,98210.0
2015,US,17-1022,Surveyors,43140.0,29.75,61880.0,27.89,58020.0,32850.0,95800.0
2015,US,17-2011,Aerospace Engineers,66980.0,53.16,110570.0,51.84,107830.0,67850.0,158700.0
2015,US,17-2021,Agricultural Engineers,2330.0,37.73,78490.0,36.1,75090.0,47490.0,116830.0
2015,US,17-2031,Biomedical Engineers,20890.0,43.86,91230.0,41.45,86220.0,51480.0,139520.0
2015,US,17-2041,Chemical Engineers,32230.0,49.98,103960.0,46.81,97360.0,59470.0,157160.0
2015,US,17-2051,Civil Engineers,275210.0,42.28,87940.0,39.53,82220.0,52900.0,129850.0
2015,US,17-2061,Computer Hardware Engineers,75870.0,55.27,114970.0,53.72,111730.0,65570.0,167100.0
2015,US,17-2071,Electrical Engineers,178580.0,46.8,97340.0,44.71,93010.0,59240.0,146820.0
2015,US,17-2072,"Electronics Engineers, Except Computer",135390.0,49.23,102390.0,47.24,98270.0,63430.0,151990.0
2015,US,17-2081,Environmental Engineers,52600.0,42.33,88040.0,40.65,84560.0,50230.0,128440.0
2015,US,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",24900.0,42.21,87810.0,40.68,84600.0,49410.0,130770.0
2015,US,17-2112,Industrial Engineers,247570.0,41.82,86990.0,40.13,83470.0,53300.0,126920.0
2015,US,17-2121,Marine Engineers and Naval Architects,7600.0,48.12,100090.0,44.76,93110.0,61110.0,149330.0
2015,US,17-2131,Materials Engineers,27040.0,45.53,94690.0,43.9,91310.0,53120.0,144720.0
2015,US,17-2141,Mechanical Engineers,278340.0,42.4,88190.0,40.19,83590.0,53640.0,128430.0
2015,US,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",8000.0,51.87,107880.0,45.21,94040.0,54180.0,180600.0
2015,US,17-2161,Nuclear Engineers,16880.0,50.99,106060.0,49.49,102950.0,66650.0,152220.0
2015,US,17-2171,Petroleum Engineers,34600.0,71.92,149590.0,62.49,129990.0,74880.0,
2015,US,17-2199,"Engineers, All Other",125460.0,47.19,98150.0,46.11,95900.0,52010.0,150830.0
2015,US,17-3011,Architectural and Civil Drafters,95280.0,25.71,53470.0,24.38,50710.0,33260.0,77450.0
2015,US,17-3012,Electrical and Electronics Drafters,29200.0,30.24,62890.0,28.62,59520.0,36140.0,95340.0
2015,US,17-3013,Mechanical Drafters,65250.0,27.22,56610.0,25.73,53520.0,34030.0,85860.0
2015,US,17-3019,"Drafters, All Other",15470.0,25.8,53660.0,23.87,49650.0,31400.0,81890.0
2015,US,17-3021,Aerospace Engineering and Operations Technicians,12890.0,32.99,68620.0,31.82,66180.0,39560.0,99090.0
2015,US,17-3022,Civil Engineering Technicians,71440.0,24.68,51330.0,23.68,49260.0,31400.0,75550.0
2015,US,17-3023,Electrical and Electronics Engineering Technicians,139080.0,29.74,61870.0,29.39,61130.0,36170.0,90570.0
2015,US,17-3024,Electro-Mechanical Technicians,14720.0,27.08,56320.0,25.65,53340.0,33580.0,84520.0
2015,US,17-3025,Environmental Engineering Technicians,17360.0,24.6,51170.0,23.39,48650.0,29270.0,77590.0
2015,US,17-3026,Industrial Engineering Technicians,62290.0,27.08,56320.0,25.86,53780.0,33910.0,83000.0
2015,US,17-3027,Mechanical Engineering Technicians,48910.0,27.11,56390.0,25.92,53910.0,33830.0,81010.0
2015,US,17-3029,"Engineering Technicians, Except Drafters, All Other",70750.0,30.2,62820.0,29.45,61260.0,33870.0,94100.0
2015,US,17-3031,Surveying and Mapping Technicians,53620.0,21.54,44800.0,20.2,42010.0,26060.0,68160.0
2015,US,19-1011,Animal Scientists,2430.0,34.53,71830.0,29.03,60390.0,37830.0,120500.0
2015,US,19-1012,Food Scientists and Technologists,14660.0,34.63,72030.0,31.65,65840.0,36940.0,118390.0
2015,US,19-1013,Soil and Plant Scientists,14610.0,31.72,65980.0,28.87,60050.0,35770.0,105390.0
2015,US,19-1021,Biochemists and Biophysicists,30800.0,44.9,93390.0,39.5,82150.0,44640.0,153810.0
2015,US,19-1022,Microbiologists,21210.0,36.65,76230.0,32.47,67550.0,38810.0,125200.0
2015,US,19-1023,Zoologists and Wildlife Biologists,17910.0,30.88,64230.0,28.69,59680.0,39180.0,97390.0
2015,US,19-1029,"Biological Scientists, All Other",32050.0,37.11,77190.0,36.13,75150.0,41740.0,112820.0
2015,US,19-1031,Conservation Scientists,20200.0,30.67,63800.0,29.38,61110.0,37380.0,91830.0
2015,US,19-1032,Foresters,8590.0,29.16,60650.0,28.0,58230.0,38660.0,84980.0
2015,US,19-1041,Epidemiologists,5460.0,36.97,76900.0,33.39,69450.0,46130.0,114550.0
2015,US,19-1042,"Medical Scientists, Except Epidemiologists",104440.0,45.06,93730.0,39.54,82240.0,44510.0,155180.0
